determining clay content for run /geodata/weppcloud_runs/clear-cut-blast
2020-06-17 15:45:37.092022

mukey=153380, cokey=None, ll=13.2499999
mukey=153445, cokey=None, ll=13.2499999
mukey=153510, cokey=None, ll=13.2499999
mukey=153479, cokey=None, ll=13.2499999
mukey=153449, cokey=None, ll=13.2499999
mukey=153451, cokey=None, ll=13.2499999
mukey=153452, cokey=None, ll=13.2499999
mukey=153456, cokey=None, ll=13.2499999
mukey=153458, cokey=None, ll=13.2499999
mukey=153460, cokey=None, ll=13.2499999
mukey=153481, cokey=None, ll=13.2499999
mukey=153496, cokey=17447570, ll=32.0
mukey=153433, cokey=None, ll=13.2499999
mukey=153370, cokey=None, ll=13.2499999
mukey=153435, cokey=None, ll=13.2499999
mukey=153349, cokey=None, ll=13.2499999
