 OFE DD MM YYYY  Precip   Runoff   EffInt PeakRO  EffDur Enrich    Keff   Sm  LeafArea  CanHgt  Cancov IntCov  RilCov  LivBio DeadBio  Ki    Kr     Tcrit RilWid   SedLeave
 na  na na  na     mm       mm     mm/h    mm/h      h    Ratio    mm/h   mm    Index    m       %       %       %     Kg/m^2  Kg/m^2  na    na      na     m       kg/m
  1  1  1    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 371.963   5.089  2.337   90.000   99.900   99.900    0.164  1.381  0.111  0.249  6.710  0.150    0.000
  1 15  1    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 234.987   5.092  2.339   90.024   99.897   99.897    0.165  1.376  0.111  0.250  6.710  0.150    0.000
  1  1  2    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 211.186   5.092  2.339   90.024   99.897   99.897    0.165  1.375  0.111  0.250  6.710  0.150    0.000
  1 15  2    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 237.936   5.092  2.339   90.024   99.896   99.896    0.165  1.373  0.111  0.105  6.710  0.150    0.000
  1  1  3    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 213.889   5.125  2.363   90.335   99.892   99.892    0.167  1.367  0.111  0.252  6.710  0.150    0.000
  1 15  3    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 231.890   5.167  2.395   90.720   99.889   99.889    0.170  1.360  0.111  0.254  6.710  0.150    0.000
  1  1  4    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 308.353   5.536  2.749   94.274   99.878   99.878    0.204  1.341  0.111  0.258  6.710  0.150    0.000
  1 15  4    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 443.557   5.851  3.340   97.754   99.862   99.862    0.271  1.318  0.111  0.264  6.710  0.150    0.000
  1  1  5    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 318.366   5.941  3.750   98.971   99.847   99.847    0.327  1.297  0.111  0.269  6.710  0.150    0.000
  1 15  5    1    5.600    0.000   0.000   0.000   0.000 0.000 173.169 231.683   5.983  4.208   99.644   99.829   99.829    0.403  1.274  0.111  0.275  6.710  0.150    0.000
  1  1  6    1   30.700    0.000   0.000   0.000   0.000 0.000 173.169 314.195   5.998  4.772   99.939   99.800   99.800    0.529  1.243  0.111  0.283  6.710  0.150    0.000
  1 15  6    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 252.643   6.000  5.134   99.988   99.771   99.771    0.645  1.216  0.111  0.291  6.710  0.150    0.000
  1  1  7    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 156.088   6.000  5.604  100.000   99.721   99.721    0.906  1.176  0.111  0.302  6.710  0.150    0.000
  1 15  7    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169  91.504   6.000  5.804  100.000   99.695   99.695    1.140  1.159  0.111  0.307  6.710  0.150    0.000
  1  1  8    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169  79.117   6.000  5.885  100.000   99.644   99.644    1.318  1.128  0.111  0.316  6.710  0.150    0.000
  1 15  8    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169  64.955   6.000  5.900  100.000   99.603   99.603    1.364  1.106  0.111  0.322  6.710  0.150    0.000
  1  1  9    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169  86.163   6.000  5.920  100.000   99.524   99.524    1.438  1.070  0.111  0.333  6.710  0.150    0.000
  1 15  9    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169  67.125   6.000  5.926   95.000   99.524   99.524    1.436  0.029  0.111  0.342  6.710  0.150    0.000
  1  1 10    1    9.700    0.000   0.000   0.000   0.000 0.000 173.169  71.499   6.000  5.926   86.111   99.599   99.599    1.384  0.080  0.111  0.347  6.710  0.150    0.000
  1 15 10    1   21.800    0.000   0.000   0.000   0.000 0.000 173.169 147.891   6.000  5.926   78.333   99.661   99.661    1.339  0.125  0.111  0.105  6.710  0.150    0.000
  1  1 11    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 248.228   6.000  5.926   68.889   99.723   99.723    1.283  0.178  0.111  0.355  6.710  0.150    0.000
  1 15 11    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 350.212   6.000  5.926   61.111   99.769   99.769    1.238  0.222  0.111  0.358  6.710  0.150    0.000
  1  1 12    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 224.525   6.000  5.926   52.222   99.818   99.818    1.186  0.274  0.111  0.359  6.710  0.150    0.000
  1 15 12    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 223.964   6.000  5.926   50.000   99.830   99.830    1.173  0.286  0.111  0.360  6.710  0.150    0.000
  1  1  1    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 218.716   6.000  5.822  100.000   99.830   99.830    1.173  0.286  0.111  0.360  6.710  0.150    0.000
  1 15  1    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 214.108   6.000  5.822  100.000   99.827   99.827    1.173  0.285  0.111  0.360  6.710  0.150    0.000
  1  1  2    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 208.644   6.000  5.822  100.000   99.826   99.826    1.173  0.285  0.111  0.361  6.710  0.150    0.000
  1 15  2    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 230.114   6.000  5.826  100.000   99.816   99.816    1.180  0.282  0.111  0.364  6.710  0.150    0.000
  1  1  3    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 274.901   6.000  5.827  100.000   99.809   99.809    1.182  0.281  0.111  0.366  6.710  0.150    0.000
  1 15  3    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 224.883   6.000  5.827  100.000   99.806   99.806    1.182  0.280  0.111  0.367  6.710  0.150    0.000
  1  1  4    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 196.361   6.000  5.835  100.000   99.796   99.796    1.199  0.278  0.111  0.369  6.710  0.150    0.000
  1 15  4    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 283.561   6.000  5.842  100.000   99.786   99.786    1.211  0.276  0.111  0.372  6.710  0.150    0.000
  1  1  5    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 396.400   6.000  5.867  100.000   99.763   99.763    1.270  0.271  0.111  0.377  6.710  0.150    0.000
  1 15  5    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 442.581   6.000  5.891  100.000   99.741   99.741    1.337  0.267  0.111  0.382  6.710  0.150    0.000
  1  1  6    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 262.161   6.000  5.928  100.000   99.698   99.698    1.473  0.260  0.111  0.391  6.710  0.150    0.000
  1 15  6    2   16.000    0.000   0.000   0.000   0.000 0.000 173.169 248.635   6.000  5.950  100.000   99.655   99.655    1.594  0.254  0.111  0.399  6.710  0.150    0.000
  1  1  7    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 217.250   6.000  5.972  100.000   99.586   99.586    1.786  0.246  0.111  0.410  6.710  0.150    0.000
  1 15  7    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 148.960   6.000  5.986  100.000   99.522   99.522    2.025  0.240  0.111  0.418  6.710  0.150    0.000
  1  1  8    2    4.100    0.000   0.000   0.000   0.000 0.000 173.169  91.470   6.000  5.994  100.000   99.462   99.462    2.319  0.234  0.111  0.426  6.710  0.150    0.000
  1 15  8    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169  64.668   6.000  5.996  100.000   99.416   99.416    2.428  0.231  0.111  0.431  6.710  0.150    0.000
  1  1  9    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169  64.304   6.000  5.996  100.000   99.365   99.365    2.430  0.227  0.111  0.436  6.710  0.150    0.000
  1 15  9    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169  65.550   6.000  5.996   95.000   99.452   99.452    2.381  0.048  0.111  0.440  6.710  0.150    0.000
  1  1 10    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169  64.470   6.000  5.996   86.111   99.612   99.612    2.295  0.133  0.111  0.445  6.710  0.150    0.000
  1 15 10    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169  64.335   6.000  5.996   78.333   99.713   99.713    2.219  0.207  0.111  0.450  6.710  0.150    0.000
  1  1 11    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169  85.853   6.000  5.996   68.889   99.812   99.812    2.127  0.297  0.111  0.452  6.710  0.150    0.000
  1 15 11    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 173.653   6.000  5.996   61.111   99.866   99.866    2.052  0.371  0.111  0.105  6.710  0.150    0.000
