 Dist. Downslope Elevation Soil Loss

   (meters)   (meters)  (kg/m**2)

      3.261     94.346      0.000
      6.522     93.520      0.000
      9.783     92.717      0.000
     13.044     91.936      0.000
     16.305     91.178      0.000
     19.566     90.440      0.000
     22.827     89.714      0.000
     26.088     88.997      0.000
     29.349     88.289      0.000
     32.610     87.591      0.000
     35.870     86.902      0.000
     39.131     86.205      0.000
     42.392     85.477      0.000
     45.653     84.717      0.000
     48.914     83.924      0.000
     52.175     83.099      0.000
     55.436     82.244      0.000
     58.697     81.375      0.000
     61.958     80.498      0.000
     65.219     79.613      0.000
     68.480     78.721      0.000
     71.741     77.820      0.000
     75.002     76.919      0.000
     78.263     76.035      0.000
     81.524     75.168      0.000
     84.785     74.318      0.000
     88.046     73.484      0.000
     91.307     72.668      0.000
     94.568     71.874      0.000
     97.829     71.103      0.000
    101.090     70.356      0.000
    104.350     69.633      0.000
    107.611     68.933      0.000
    110.872     68.250      0.000
    114.133     67.558      0.000
    117.394     66.857      0.000
    120.655     66.146      0.000
    123.916     65.424      0.000
    127.177     64.693      0.000
    130.438     63.952      0.000
    133.699     63.199      0.000
    136.960     62.435      0.000
    140.221     61.660      0.000
    143.482     60.874      0.000
    146.743     60.078      0.000
    150.004     59.278      0.000
    153.265     58.475      0.000
    156.526     57.669      0.000
    159.787     56.860      0.000
    163.048     56.047      0.000
    166.309     55.220      0.000
    169.570     54.367      0.000
    172.830     53.488      0.000
    176.091     52.583      0.000
    179.352     51.652      0.000
    182.613     50.695      0.000
    185.874     49.710      0.000
    189.135     48.698      0.000
    192.396     47.658      0.000
    195.657     46.589      0.000
    198.918     45.493      0.000
    202.179     44.372      0.000
    205.440     43.230      0.000
    208.701     42.066      0.000
    211.962     40.882      0.000
    215.223     39.676      0.000
    218.484     38.451      0.000
    221.745     37.231      0.000
    225.006     36.026      0.000
    228.267     34.833      0.000
    231.528     33.654      0.000
    234.789     32.489      0.000
    238.050     31.335      0.000
    241.310     30.189      0.000
    244.571     29.052      0.000
    247.832     27.923      0.000
    251.093     26.801      0.000
    254.354     25.688      0.000
    257.615     24.566      0.000
    260.876     23.428      0.000
    264.137     22.275      0.000
    267.398     21.107      0.000
    270.659     19.923      0.000
    273.920     18.724      0.000
    277.181     17.513      0.000
    280.442     16.289      0.000
    283.703     15.052      0.000
    286.964     13.804      0.000
    290.225     12.543      0.000
    293.486     11.294      0.000
    296.747     10.076      0.000
    300.008      8.887      0.000
    303.269      7.727      0.000
    306.530      6.597      0.000
    309.791      5.492      0.000
    313.051      4.391      0.000
    316.312      3.292      0.000
    319.573      2.193      0.000
    322.834      1.096      0.000
    326.095      0.000      0.000
